,Country,Metric Name,Metric Value
2113,Algeria,Specialized Equipment_Score,1.202
2896,Algeria,Unmanned Vehicles_Score,9.584
3940,Algeria,ZZ_loop_score,6.917
2006,Amal (Lebanon)*,Aircraft_Score,
1745,Amal (Lebanon)*,Country_Score,0.013999999999999999
179,Amal (Lebanon)*,Exports,0.0
701,Amal (Lebanon)*,Gross_Deals,0.0
3311,Amal (Lebanon)*,Ground Vehicles/Artillery_Score,0.075
2789,Amal (Lebanon)*,Helicopters_Score,
440,Amal (Lebanon)*,Imports,63.120000000000005
2528,Amal (Lebanon)*,Missiles/Rockets/Bombs_Score,
3833,Amal (Lebanon)*,Naval Vessels_Score,
962,Amal (Lebanon)*,Normalized_Exports,0.0
1484,Amal (Lebanon)*,Normalized_Gross,0.0
1223,Amal (Lebanon)*,Normalized_Imports,0.00045028874980096553
3572,Amal (Lebanon)*,Radar/Detection Systems_Score,
2267,Amal (Lebanon)*,Specialized Equipment_Score,
3050,Amal (Lebanon)*,Unmanned Vehicles_Score,
4094,Amal (Lebanon)*,ZZ_loop_score,
1887,Angola,Aircraft_Score,2.173
1626,Angola,Country_Score,2.228
60,Angola,Exports,4.569999999999999
582,Angola,Gross_Deals,8853.5
3192,Angola,Ground Vehicles/Artillery_Score,2.418
2670,Angola,Helicopters_Score,3.4549999999999996
321,Angola,Imports,8848.93
2409,Angola,Missiles/Rockets/Bombs_Score,1.6650000000000003
3714,Angola,Naval Vessels_Score,0.539
843,Angola,Normalized_Exports,6.074943426590848e-06
1365,Angola,Normalized_Gross,0.011146561068418053
1104,Angola,Normalized_Imports,0.06312695859911689
3453,Angola,Radar/Detection Systems_Score,2.015
2148,Angola,Specialized Equipment_Score,0.386
2931,Angola,Unmanned Vehicles_Score,1.6480000000000001
3975,Angola,ZZ_loop_score,2.173
2065,Anti-Castro rebels (Cuba)*,Aircraft_Score,
1804,Anti-Castro rebels (Cuba)*,Country_Score,0.0
238,Anti-Castro rebels (Cuba)*,Exports,0.0
760,Anti-Castro rebels (Cuba)*,Gross_Deals,0.0
3370,Anti-Castro rebels (Cuba)*,Ground Vehicles/Artillery_Score,0.003
2848,Anti-Castro rebels (Cuba)*,Helicopters_Score,
499,Anti-Castro rebels (Cuba)*,Imports,2.2
2587,Anti-Castro rebels (Cuba)*,Missiles/Rockets/Bombs_Score,
3892,Anti-Castro rebels (Cuba)*,Naval Vessels_Score,
1021,Anti-Castro rebels (Cuba)*,Normalized_Exports,0.0
1543,Anti-Castro rebels (Cuba)*,Normalized_Gross,0.0
1282,Anti-Castro rebels (Cuba)*,Normalized_Imports,1.5694474802948737e-05
3631,Anti-Castro rebels (Cuba)*,Radar/Detection Systems_Score,
2326,Anti-Castro rebels (Cuba)*,Specialized Equipment_Score,
3109,Anti-Castro rebels (Cuba)*,Unmanned Vehicles_Score,
4153,Anti-Castro rebels (Cuba)*,ZZ_loop_score,
2066,Antigua and Barbuda,Aircraft_Score,0.0
1805,Antigua and Barbuda,Country_Score,0.0
239,Antigua and Barbuda,Exports,0.0
761,Antigua and Barbuda,Gross_Deals,0.0
3371,Antigua and Barbuda,Ground Vehicles/Artillery_Score,
2849,Antigua and Barbuda,Helicopters_Score,
500,Antigua and Barbuda,Imports,0.54
2588,Antigua and Barbuda,Missiles/Rockets/Bombs_Score,
3893,Antigua and Barbuda,Naval Vessels_Score,
1022,Antigua and Barbuda,Normalized_Exports,0.0
1544,Antigua and Barbuda,Normalized_Gross,0.0
1283,Antigua and Barbuda,Normalized_Imports,3.852280178905599e-06
3632,Antigua and Barbuda,Radar/Detection Systems_Score,
2327,Antigua and Barbuda,Specialized Equipment_Score,
3110,Antigua and Barbuda,Unmanned Vehicles_Score,
4154,Antigua and Barbuda,ZZ_loop_score,0.0
1885,Argentina,Aircraft_Score,1.7999999999999998
1624,Argentina,Country_Score,2.895
58,Argentina,Exports,129.07
580,Argentina,Gross_Deals,11580.8
3190,Argentina,Ground Vehicles/Artillery_Score,2.2110000000000003
2668,Argentina,Helicopters_Score,2.212
319,Argentina,Imports,11451.73
2407,Argentina,Missiles/Rockets/Bombs_Score,0.9339999999999999
3712,Argentina,Naval Vessels_Score,10.309
841,Argentina,Normalized_Exports,0.00017157394924947065
1363,Argentina,Normalized_Gross,0.014580233175708567
1102,Argentina,Normalized_Imports,0.08169494906144187
3451,Argentina,Radar/Detection Systems_Score,2.9659999999999997
2146,Argentina,Specialized Equipment_Score,1.37
2929,Argentina,Unmanned Vehicles_Score,
3973,Argentina,ZZ_loop_score,1.7999999999999998
1931,Armenia,Aircraft_Score,0.184
1670,Armenia,Country_Score,0.27
104,Armenia,Exports,4.4
626,Armenia,Gross_Deals,1076.2
3236,Armenia,Ground Vehicles/Artillery_Score,0.22799999999999998
2714,Armenia,Helicopters_Score,0.076
365,Armenia,Imports,1071.8
2453,Armenia,Missiles/Rockets/Bombs_Score,0.695
3758,Armenia,Naval Vessels_Score,
887,Armenia,Normalized_Exports,5.8489608483588045e-06
1409,Armenia,Normalized_Gross,0.0013549363553206654
1148,Armenia,Normalized_Imports,0.007646062769909297
3497,Armenia,Radar/Detection Systems_Score,0.242
2192,Armenia,Specialized Equipment_Score,
2975,Armenia,Unmanned Vehicles_Score,
4019,Armenia,ZZ_loop_score,0.184
2049,Aruba,Aircraft_Score,0.002
1788,Aruba,Country_Score,0.001
222,Aruba,Exports,17.8
744,Aruba,Gross_Deals,0.0
3354,Aruba,Ground Vehicles/Artillery_Score,
2832,Aruba,Helicopters_Score,
483,Aruba,Imports,0.0
2571,Aruba,Missiles/Rockets/Bombs_Score,
3876,Aruba,Naval Vessels_Score,
1005,Aruba,Normalized_Exports,2.36617052501788e-05
1527,Aruba,Normalized_Gross,0.0
1266,Aruba,Normalized_Imports,0.0
3615,Aruba,Radar/Detection Systems_Score,
2310,Aruba,Specialized Equipment_Score,
3093,Aruba,Unmanned Vehicles_Score,
4137,Aruba,ZZ_loop_score,0.002
1846,Australia,Aircraft_Score,12.715000000000002
1585,Australia,Country_Score,11.645999999999999
19,Australia,Exports,3492.17
541,Australia,Gross_Deals,48485.159999999996
3151,Australia,Ground Vehicles/Artillery_Score,3.7220000000000004
2629,Australia,Helicopters_Score,10.96
280,Australia,Imports,44992.99
2368,Australia,Missiles/Rockets/Bombs_Score,7.406
3673,Australia,Naval Vessels_Score,25.476
802,Australia,Normalized_Exports,0.004642174001321174
1324,Australia,Normalized_Gross,0.06104284145840857
1063,Australia,Normalized_Imports,0.32097333993832927
3412,Australia,Radar/Detection Systems_Score,5.337
2107,Australia,Specialized Equipment_Score,7.95
2890,Australia,Unmanned Vehicles_Score,1.8110000000000002
3934,Australia,ZZ_loop_score,12.715000000000002
1899,Austria,Aircraft_Score,0.911
1638,Austria,Country_Score,1.155
72,Austria,Exports,1581.9
594,Austria,Gross_Deals,5599.07
3204,Austria,Ground Vehicles/Artillery_Score,2.321
2682,Austria,Helicopters_Score,1.314
333,Austria,Imports,4017.17
2421,Austria,Missiles/Rockets/Bombs_Score,0.432
3726,Austria,Naval Vessels_Score,
855,Austria,Normalized_Exports,0.002102834355913362
1377,Austria,Normalized_Gross,0.007049232019127743
1116,Austria,Normalized_Imports,0.028657896974618895
3465,Austria,Radar/Detection Systems_Score,2.5149999999999997
2160,Austria,Specialized Equipment_Score,0.573
2943,Austria,Unmanned Vehicles_Score,0.471
3987,Austria,ZZ_loop_score,0.911
1907,Azerbaijan,Aircraft_Score,0.183
1646,Azerbaijan,Country_Score,0.924
80,Azerbaijan,Exports,0.0
602,Azerbaijan,Gross_Deals,0.0
3212,Azerbaijan,Ground Vehicles/Artillery_Score,1.8030000000000002
2690,Azerbaijan,Helicopters_Score,2.168
341,Azerbaijan,Imports,4316.86
2429,Azerbaijan,Missiles/Rockets/Bombs_Score,1.415
3734,Azerbaijan,Naval Vessels_Score,0.673
863,Azerbaijan,Normalized_Exports,0.0
1385,Azerbaijan,Normalized_Gross,0.0
1124,Azerbaijan,Normalized_Imports,0.03079584113538967
3473,Azerbaijan,Radar/Detection Systems_Score,0.203
2168,Azerbaijan,Specialized Equipment_Score,0.015
2951,Azerbaijan,Unmanned Vehicles_Score,7.009
3995,Azerbaijan,ZZ_loop_score,0.183
1980,Bahamas,Aircraft_Score,0.004
1719,Bahamas,Country_Score,0.041
153,Bahamas,Exports,0.24
675,Bahamas,Gross_Deals,163.32
3285,Bahamas,Ground Vehicles/Artillery_Score,0.0
2763,Bahamas,Helicopters_Score,
414,Bahamas,Imports,163.07999999999998
2502,Bahamas,Missiles/Rockets/Bombs_Score,
3807,Bahamas,Naval Vessels_Score,0.27
936,Bahamas,Normalized_Exports,3.190342280922984e-07
1458,Bahamas,Normalized_Gross,0.00020561996427334236
1197,Bahamas,Normalized_Imports,0.0011633886140294907
3546,Bahamas,Radar/Detection Systems_Score,
2241,Bahamas,Specialized Equipment_Score,
3024,Bahamas,Unmanned Vehicles_Score,
4068,Bahamas,ZZ_loop_score,0.004
1901,Bahrain,Aircraft_Score,0.771
1640,Bahrain,Country_Score,1.109
74,Bahrain,Exports,2.0
596,Bahrain,Gross_Deals,4406.89
3206,Bahrain,Ground Vehicles/Artillery_Score,0.6479999999999999
2684,Bahrain,Helicopters_Score,1.184
335,Bahrain,Imports,4404.89
2423,Bahrain,Missiles/Rockets/Bombs_Score,1.426
3728,Bahrain,Naval Vessels_Score,1.367
857,Bahrain,Normalized_Exports,2.65861856743582e-06
1379,Bahrain,Normalized_Gross,0.00554827678396124
1118,Bahrain,Normalized_Imports,0.03142383414307312
3467,Bahrain,Radar/Detection Systems_Score,0.653
2162,Bahrain,Specialized Equipment_Score,0.023
2945,Bahrain,Unmanned Vehicles_Score,0.17600000000000002
3989,Bahrain,ZZ_loop_score,0.771
1891,Bangladesh,Aircraft_Score,0.8460000000000001
1630,Bangladesh,Country_Score,1.8239999999999998
64,Bangladesh,Exports,1.76
586,Bangladesh,Gross_Deals,7247.33
3196,Bangladesh,Ground Vehicles/Artillery_Score,1.941
2674,Bangladesh,Helicopters_Score,1.239
325,Bangladesh,Imports,7245.57
2413,Bangladesh,Missiles/Rockets/Bombs_Score,0.8109999999999999
3718,Bangladesh,Naval Vessels_Score,4.456
847,Bangladesh,Normalized_Exports,2.3395843393435215e-06
1369,Bangladesh,Normalized_Gross,0.009124392209632147
1108,Bangladesh,Normalized_Imports,0.05168882536272785
3457,Bangladesh,Radar/Detection Systems_Score,0.8670000000000001
2152,Bangladesh,Specialized Equipment_Score,0.492
2935,Bangladesh,Unmanned Vehicles_Score,1.058
3979,Bangladesh,ZZ_loop_score,0.8460000000000001
2018,Barbados,Aircraft_Score,0.0
1757,Barbados,Country_Score,0.009000000000000001
191,Barbados,Exports,0.0
713,Barbados,Gross_Deals,0.0
3323,Barbados,Ground Vehicles/Artillery_Score,
2801,Barbados,Helicopters_Score,
452,Barbados,Imports,40.25
2540,Barbados,Missiles/Rockets/Bombs_Score,
3845,Barbados,Naval Vessels_Score,0.068
974,Barbados,Normalized_Exports,0.0
1496,Barbados,Normalized_Gross,0.0
1235,Barbados,Normalized_Imports,0.0002871375503721303
3584,Barbados,Radar/Detection Systems_Score,
2279,Barbados,Specialized Equipment_Score,
3062,Barbados,Unmanned Vehicles_Score,
4106,Barbados,ZZ_loop_score,0.0
1908,Belarus,Aircraft_Score,0.8
1647,Belarus,Country_Score,0.882
81,Belarus,Exports,3482.33
603,Belarus,Gross_Deals,5726.98
3213,Belarus,Ground Vehicles/Artillery_Score,0.958
2691,Belarus,Helicopters_Score,0.47800000000000004
342,Belarus,Imports,2244.65
2430,Belarus,Missiles/Rockets/Bombs_Score,1.838
3735,Belarus,Naval Vessels_Score,
864,Belarus,Normalized_Exports,0.004629093597969389
1386,Belarus,Normalized_Gross,0.007210270775129477
1125,Belarus,Normalized_Imports,0.016013001302926762
3474,Belarus,Radar/Detection Systems_Score,0.9820000000000001
2169,Belarus,Specialized Equipment_Score,0.091
2952,Belarus,Unmanned Vehicles_Score,0.059000000000000004
3996,Belarus,ZZ_loop_score,0.8
1870,Belgium,Aircraft_Score,5.37
1609,Belgium,Country_Score,3.8859999999999997
43,Belgium,Exports,2447.51
565,Belgium,Gross_Deals,16995.57
3175,Belgium,Ground Vehicles/Artillery_Score,5.521
2653,Belgium,Helicopters_Score,0.874
304,Belgium,Imports,14548.060000000001
2392,Belgium,Missiles/Rockets/Bombs_Score,1.8950000000000002
3697,Belgium,Naval Vessels_Score,1.2449999999999999
826,Belgium,Normalized_Exports,0.0032534977649924224
1348,Belgium,Normalized_Gross,0.02139743139973726
1087,Belgium,Normalized_Imports,0.10378370959172109
3436,Belgium,Radar/Detection Systems_Score,1.425
2131,Belgium,Specialized Equipment_Score,0.5700000000000001
2914,Belgium,Unmanned Vehicles_Score,1.32
3958,Belgium,ZZ_loop_score,5.37
2053,Belize,Aircraft_Score,0.001
1792,Belize,Country_Score,0.001
226,Belize,Exports,0.0
748,Belize,Gross_Deals,0.0
3358,Belize,Ground Vehicles/Artillery_Score,
2836,Belize,Helicopters_Score,0.005
487,Belize,Imports,4.52
2575,Belize,Missiles/Rockets/Bombs_Score,
3880,Belize,Naval Vessels_Score,
1009,Belize,Normalized_Exports,0.0
1531,Belize,Normalized_Gross,0.0
1270,Belize,Normalized_Imports,3.224501186787649e-05
3619,Belize,Radar/Detection Systems_Score,
2314,Belize,Specialized Equipment_Score,
3097,Belize,Unmanned Vehicles_Score,
4141,Belize,ZZ_loop_score,0.001
1997,Benin,Aircraft_Score,0.023
1736,Benin,Country_Score,0.023
170,Benin,Exports,0.0
692,Benin,Gross_Deals,0.0
3302,Benin,Ground Vehicles/Artillery_Score,0.024
2780,Benin,Helicopters_Score,0.041
431,Benin,Imports,108.3
2519,Benin,Missiles/Rockets/Bombs_Score,
3824,Benin,Naval Vessels_Score,0.043
953,Benin,Normalized_Exports,0.0
1475,Benin,Normalized_Gross,0.0
1214,Benin,Normalized_Imports,0.0007725961914360673
3563,Benin,Radar/Detection Systems_Score,
2258,Benin,Specialized Equipment_Score,0.0
3041,Benin,Unmanned Vehicles_Score,0.076
4085,Benin,ZZ_loop_score,0.023
2058,Bhutan,Aircraft_Score,
1797,Bhutan,Country_Score,0.001
231,Bhutan,Exports,0.0
753,Bhutan,Gross_Deals,0.0
3363,Bhutan,Ground Vehicles/Artillery_Score,0.004
2841,Bhutan,Helicopters_Score,0.006999999999999999
492,Bhutan,Imports,6.51
2580,Bhutan,Missiles/Rockets/Bombs_Score,
3885,Bhutan,Naval Vessels_Score,
1014,Bhutan,Normalized_Exports,0.0
1536,Bhutan,Normalized_Gross,0.0
1275,Bhutan,Normalized_Imports,4.6441377712361935e-05
3624,Bhutan,Radar/Detection Systems_Score,
2319,Bhutan,Specialized Equipment_Score,0.002
3102,Bhutan,Unmanned Vehicles_Score,
4146,Bhutan,ZZ_loop_score,
2043,Biafra,Aircraft_Score,0.005
1782,Biafra,Country_Score,0.002
216,Biafra,Exports,0.0
738,Biafra,Gross_Deals,0.0
3348,Biafra,Ground Vehicles/Artillery_Score,
2826,Biafra,Helicopters_Score,
477,Biafra,Imports,8.9
2565,Biafra,Missiles/Rockets/Bombs_Score,
3870,Biafra,Naval Vessels_Score,
999,Biafra,Normalized_Exports,0.0
1521,Biafra,Normalized_Gross,0.0
1260,Biafra,Normalized_Imports,6.349128443011079e-05
3609,Biafra,Radar/Detection Systems_Score,
2304,Biafra,Specialized Equipment_Score,
3087,Biafra,Unmanned Vehicles_Score,
4131,Biafra,ZZ_loop_score,0.005
1947,Bolivia,Aircraft_Score,0.19499999999999998
1686,Bolivia,Country_Score,0.156
120,Bolivia,Exports,0.0
642,Bolivia,Gross_Deals,0.0
3252,Bolivia,Ground Vehicles/Artillery_Score,0.132
2730,Bolivia,Helicopters_Score,0.39899999999999997
381,Bolivia,Imports,727.73
2469,Bolivia,Missiles/Rockets/Bombs_Score,0.01
3774,Bolivia,Naval Vessels_Score,
903,Bolivia,Normalized_Exports,0.0
1425,Bolivia,Normalized_Gross,0.0
1164,Bolivia,Normalized_Imports,0.005191518249249947
3513,Bolivia,Radar/Detection Systems_Score,0.23500000000000001
2208,Bolivia,Specialized Equipment_Score,0.043
2991,Bolivia,Unmanned Vehicles_Score,
4035,Bolivia,ZZ_loop_score,0.19499999999999998
1971,Bosnia-Herzegovina,Aircraft_Score,
1710,Bosnia-Herzegovina,Country_Score,0.05
144,Bosnia-Herzegovina,Exports,26.84
666,Bosnia-Herzegovina,Gross_Deals,215.72
3276,Bosnia-Herzegovina,Ground Vehicles/Artillery_Score,0.244
2754,Bosnia-Herzegovina,Helicopters_Score,0.074
405,Bosnia-Herzegovina,Imports,188.88
2493,Bosnia-Herzegovina,Missiles/Rockets/Bombs_Score,0.005
3798,Bosnia-Herzegovina,Naval Vessels_Score,
927,Bosnia-Herzegovina,Normalized_Exports,3.567866117498871e-05
1449,Bosnia-Herzegovina,Normalized_Gross,0.0002715915913118137
1188,Bosnia-Herzegovina,Normalized_Imports,0.0013474420003549805
3537,Bosnia-Herzegovina,Radar/Detection Systems_Score,
2232,Bosnia-Herzegovina,Specialized Equipment_Score,
3015,Bosnia-Herzegovina,Unmanned Vehicles_Score,
4059,Bosnia-Herzegovina,ZZ_loop_score,
1954,Botswana,Aircraft_Score,0.117
1693,Botswana,Country_Score,0.105
127,Botswana,Exports,0.0
649,Botswana,Gross_Deals,0.0
3259,Botswana,Ground Vehicles/Artillery_Score,0.159
2737,Botswana,Helicopters_Score,0.095
388,Botswana,Imports,488.72
2476,Botswana,Missiles/Rockets/Bombs_Score,0.104
3781,Botswana,Naval Vessels_Score,
910,Botswana,Normalized_Exports,0.0
1432,Botswana,Normalized_Gross,0.0
1171,Botswana,Normalized_Imports,0.0034864562389532302
3520,Botswana,Radar/Detection Systems_Score,0.02
2215,Botswana,Specialized Equipment_Score,0.037
2998,Botswana,Unmanned Vehicles_Score,
4042,Botswana,ZZ_loop_score,0.117
1861,Brazil,Aircraft_Score,3.283
1600,Brazil,Country_Score,5.269
34,Brazil,Exports,5113.24
556,Brazil,Gross_Deals,24194.690000000002
3166,Brazil,Ground Vehicles/Artillery_Score,3.7859999999999996
2644,Brazil,Helicopters_Score,6.107
295,Brazil,Imports,19081.45
2383,Brazil,Missiles/Rockets/Bombs_Score,1.951
3688,Brazil,Naval Vessels_Score,16.02
817,Brazil,Normalized_Exports,0.006797077401877766
1339,Brazil,Normalized_Gross,0.030461127194492985
1078,Brazil,Normalized_Imports,0.13612424374033008
3427,Brazil,Radar/Detection Systems_Score,7.298
2122,Brazil,Specialized Equipment_Score,4.936
2905,Brazil,Unmanned Vehicles_Score,2.5
3949,Brazil,ZZ_loop_score,3.283
1932,Brunei,Aircraft_Score,0.037
1671,Brunei,Country_Score,0.251
105,Brunei,Exports,35.6
627,Brunei,Gross_Deals,1020.19
3237,Brunei,Ground Vehicles/Artillery_Score,0.052
2715,Brunei,Helicopters_Score,0.644
366,Brunei,Imports,984.59
2454,Brunei,Missiles/Rockets/Bombs_Score,0.22699999999999998
3759,Brunei,Naval Vessels_Score,1.049
888,Brunei,Normalized_Exports,4.73234105003576e-05
1410,Brunei,Normalized_Gross,0.001284419736419429
1149,Brunei,Normalized_Imports,0.007023919521016044
3498,Brunei,Radar/Detection Systems_Score,0.188
2193,Brunei,Specialized Equipment_Score,0.056999999999999995
2976,Brunei,Unmanned Vehicles_Score,0.013
4020,Brunei,ZZ_loop_score,0.037
1867,Bulgaria,Aircraft_Score,3.447
1606,Bulgaria,Country_Score,4.405
40,Bulgaria,Exports,1169.77
562,Bulgaria,Gross_Deals,18243.31
3172,Bulgaria,Ground Vehicles/Artillery_Score,6.7669999999999995
2650,Bulgaria,Helicopters_Score,2.848
301,Bulgaria,Imports,17073.54
2389,Bulgaria,Missiles/Rockets/Bombs_Score,6.516
3694,Bulgaria,Naval Vessels_Score,4.15
823,Bulgaria,Normalized_Exports,0.0015549861208146996
1345,Bulgaria,Normalized_Gross,0.0229683367035728
1084,Bulgaria,Normalized_Imports,0.12180011060324425
3433,Bulgaria,Radar/Detection Systems_Score,1.05
2128,Bulgaria,Specialized Equipment_Score,0.122
2911,Bulgaria,Unmanned Vehicles_Score,1.2510000000000001
3955,Bulgaria,ZZ_loop_score,3.447
1969,Burkina Faso,Aircraft_Score,0.033
1708,Burkina Faso,Country_Score,0.053
142,Burkina Faso,Exports,0.0
664,Burkina Faso,Gross_Deals,0.0
3274,Burkina Faso,Ground Vehicles/Artillery_Score,0.101
2752,Burkina Faso,Helicopters_Score,0.197
403,Burkina Faso,Imports,246.53
2491,Burkina Faso,Missiles/Rockets/Bombs_Score,0.004
3796,Burkina Faso,Naval Vessels_Score,
925,Burkina Faso,Normalized_Exports,0.0
1447,Burkina Faso,Normalized_Gross,0.0
1186,Burkina Faso,Normalized_Imports,0.001758708578714069
3535,Burkina Faso,Radar/Detection Systems_Score,
2230,Burkina Faso,Specialized Equipment_Score,0.018000000000000002
3013,Burkina Faso,Unmanned Vehicles_Score,0.441
4057,Burkina Faso,ZZ_loop_score,0.033
2005,Burundi,Aircraft_Score,0.002
1744,Burundi,Country_Score,0.015
178,Burundi,Exports,0.0
700,Burundi,Gross_Deals,0.0
3310,Burundi,Ground Vehicles/Artillery_Score,0.046
2788,Burundi,Helicopters_Score,0.024
439,Burundi,Imports,68.45
2527,Burundi,Missiles/Rockets/Bombs_Score,0.018000000000000002
3832,Burundi,Naval Vessels_Score,
961,Burundi,Normalized_Exports,0.0
1483,Burundi,Normalized_Gross,0.0
1222,Burundi,Normalized_Imports,0.0004883121819372004
3571,Burundi,Radar/Detection Systems_Score,
2266,Burundi,Specialized Equipment_Score,
3049,Burundi,Unmanned Vehicles_Score,0.16199999999999998
4093,Burundi,ZZ_loop_score,0.002
2004,Cabo Verde,Aircraft_Score,0.017
1743,Cabo Verde,Country_Score,0.016
177,Cabo Verde,Exports,0.0
699,Cabo Verde,Gross_Deals,0.0
3309,Cabo Verde,Ground Vehicles/Artillery_Score,
2787,Cabo Verde,Helicopters_Score,
438,Cabo Verde,Imports,76.09
2526,Cabo Verde,Missiles/Rockets/Bombs_Score,
3831,Cabo Verde,Naval Vessels_Score,0.059000000000000004
960,Cabo Verde,Normalized_Exports,0.0
1482,Cabo Verde,Normalized_Gross,0.0
1221,Cabo Verde,Normalized_Imports,0.0005428148126165315
3570,Cabo Verde,Radar/Detection Systems_Score,
2265,Cabo Verde,Specialized Equipment_Score,0.025
3048,Cabo Verde,Unmanned Vehicles_Score,0.054
4092,Cabo Verde,ZZ_loop_score,0.017
1923,Cambodia,Aircraft_Score,0.23900000000000002
1662,Cambodia,Country_Score,0.395
96,Cambodia,Exports,1.8599999999999999
618,Cambodia,Gross_Deals,1571.4299999999998
3228,Cambodia,Ground Vehicles/Artillery_Score,0.5579999999999999
2706,Cambodia,Helicopters_Score,0.8460000000000001
357,Cambodia,Imports,1569.57
2445,Cambodia,Missiles/Rockets/Bombs_Score,0.215
3750,Cambodia,Naval Vessels_Score,0.42700000000000005
879,Cambodia,Normalized_Exports,2.4725152677153126e-06
1401,Cambodia,Normalized_Gross,0.0019784311808600193
1140,Cambodia,Normalized_Imports,0.011197080371120112
3489,Cambodia,Radar/Detection Systems_Score,0.019
2184,Cambodia,Specialized Equipment_Score,0.011000000000000001
2967,Cambodia,Unmanned Vehicles_Score,0.203
4011,Cambodia,ZZ_loop_score,0.23900000000000002
1943,Cameroon,Aircraft_Score,0.15
1682,Cameroon,Country_Score,0.181
116,Cameroon,Exports,0.0
638,Cameroon,Gross_Deals,0.0
3248,Cameroon,Ground Vehicles/Artillery_Score,0.191
2726,Cameroon,Helicopters_Score,0.298
377,Cameroon,Imports,846.54
2465,Cameroon,Missiles/Rockets/Bombs_Score,0.032
3770,Cameroon,Naval Vessels_Score,0.218
899,Cameroon,Normalized_Exports,0.0
1421,Cameroon,Normalized_Gross,0.0
1160,Cameroon,Normalized_Imports,0.00603909122713101
3509,Cameroon,Radar/Detection Systems_Score,0.45999999999999996
2204,Cameroon,Specialized Equipment_Score,0.034
2987,Cameroon,Unmanned Vehicles_Score,0.003
