,start_year,end_year,parties_involved,title,description,Country,conflict_range
34,2013,2014,South Sudan; government forces; opposition factions,South Sudan Civil War,Political disputes escalated into armed conflict with significant casualties and displacement.,opposition factions,2013 - 2014
35,2014,2014,Burkina Faso; government forces; civilian protesters,Burkinabé Uprising,Mass protests forced President Blaise Compaoré to resign after 27 years in power.,Burkina Faso,2014 - 2014
35,2014,2014,Burkina Faso; government forces; civilian protesters,Burkinabé Uprising,Mass protests forced President Blaise Compaoré to resign after 27 years in power.,government forces,2014 - 2014
35,2014,2014,Burkina Faso; government forces; civilian protesters,Burkinabé Uprising,Mass protests forced President Blaise Compaoré to resign after 27 years in power.,civilian protesters,2014 - 2014
36,2015,2015,Burundi; government forces; opposition groups,Burundian Unrest,Political unrest and violence following President Pierre Nkurunziza's announcement to run for a third term.,Burundi,2015 - 2015
36,2015,2015,Burundi; government forces; opposition groups,Burundian Unrest,Political unrest and violence following President Pierre Nkurunziza's announcement to run for a third term.,government forces,2015 - 2015
36,2015,2015,Burundi; government forces; opposition groups,Burundian Unrest,Political unrest and violence following President Pierre Nkurunziza's announcement to run for a third term.,opposition groups,2015 - 2015
37,2015,2024,Burkina Faso; government forces; jihadist groups,Jihadist Insurgency in Burkina Faso,"Armed groups affiliated with al-Qaeda and ISIS intensified attacks, leading to significant displacement and casualties.",Burkina Faso,2015 - 2024
37,2015,2024,Burkina Faso; government forces; jihadist groups,Jihadist Insurgency in Burkina Faso,"Armed groups affiliated with al-Qaeda and ISIS intensified attacks, leading to significant displacement and casualties.",government forces,2015 - 2024
37,2015,2024,Burkina Faso; government forces; jihadist groups,Jihadist Insurgency in Burkina Faso,"Armed groups affiliated with al-Qaeda and ISIS intensified attacks, leading to significant displacement and casualties.",jihadist groups,2015 - 2024
38,2016,2024,Niger; government forces; jihadist groups,Jihadist Insurgency in Niger,"Escalation of attacks by jihadist groups in the Sahel region, affecting border areas.",Niger,2016 - 2024
38,2016,2024,Niger; government forces; jihadist groups,Jihadist Insurgency in Niger,"Escalation of attacks by jihadist groups in the Sahel region, affecting border areas.",government forces,2016 - 2024
38,2016,2024,Niger; government forces; jihadist groups,Jihadist Insurgency in Niger,"Escalation of attacks by jihadist groups in the Sahel region, affecting border areas.",jihadist groups,2016 - 2024
39,2016,2024,Cameroon; government forces; Anglophone separatists,Anglophone Crisis,Conflict between Cameroon's government and English-speaking regions seeking independence.,Cameroon,2016 - 2024
39,2016,2024,Cameroon; government forces; Anglophone separatists,Anglophone Crisis,Conflict between Cameroon's government and English-speaking regions seeking independence.,government forces,2016 - 2024
39,2016,2024,Cameroon; government forces; Anglophone separatists,Anglophone Crisis,Conflict between Cameroon's government and English-speaking regions seeking independence.,Anglophone separatists,2016 - 2024
40,2017,2024,Mozambique; government forces; Islamist insurgents,Islamist Insurgency in Mozambique,"Armed Islamist groups launched attacks in the Cabo Delgado province, causing humanitarian crises.",Mozambique,2017 - 2024
40,2017,2024,Mozambique; government forces; Islamist insurgents,Islamist Insurgency in Mozambique,"Armed Islamist groups launched attacks in the Cabo Delgado province, causing humanitarian crises.",government forces,2017 - 2024
40,2017,2024,Mozambique; government forces; Islamist insurgents,Islamist Insurgency in Mozambique,"Armed Islamist groups launched attacks in the Cabo Delgado province, causing humanitarian crises.",Islamist insurgents,2017 - 2024
41,2017,2017,Zimbabwe; military factions; government forces,Zimbabwean Coup d'État,"The military intervened, leading to President Robert Mugabe's resignation after 37 years in power.",Zimbabwe,2017 - 2017
41,2017,2017,Zimbabwe; military factions; government forces,Zimbabwean Coup d'État,"The military intervened, leading to President Robert Mugabe's resignation after 37 years in power.",military factions,2017 - 2017
41,2017,2017,Zimbabwe; military factions; government forces,Zimbabwean Coup d'État,"The military intervened, leading to President Robert Mugabe's resignation after 37 years in power.",government forces,2017 - 2017
42,2019,2019,Sudan; military factions; civilian protesters,Sudanese Revolution,Nationwide protests led to the ousting of President Omar al-Bashir after 30 years in power.,Sudan,2019 - 2019
42,2019,2019,Sudan; military factions; civilian protesters,Sudanese Revolution,Nationwide protests led to the ousting of President Omar al-Bashir after 30 years in power.,military factions,2019 - 2019
42,2019,2019,Sudan; military factions; civilian protesters,Sudanese Revolution,Nationwide protests led to the ousting of President Omar al-Bashir after 30 years in power.,civilian protesters,2019 - 2019
43,2020,2020,Mali; military factions; government forces,Malian Coup d'État,Military officers overthrew President Ibrahim Boubacar Keïta amid escalating jihadist insurgency.,Mali,2020 - 2020
43,2020,2020,Mali; military factions; government forces,Malian Coup d'État,Military officers overthrew President Ibrahim Boubacar Keïta amid escalating jihadist insurgency.,military factions,2020 - 2020
43,2020,2020,Mali; military factions; government forces,Malian Coup d'État,Military officers overthrew President Ibrahim Boubacar Keïta amid escalating jihadist insurgency.,government forces,2020 - 2020
44,2021,2021,Chad; military factions; government forces,Chadian Coup d'État,"Following President Idriss Déby's death, the military dissolved the government and parliament, establishing a transitional council.",Chad,2021 - 2021
44,2021,2021,Chad; military factions; government forces,Chadian Coup d'État,"Following President Idriss Déby's death, the military dissolved the government and parliament, establishing a transitional council.",military factions,2021 - 2021
44,2021,2021,Chad; military factions; government forces,Chadian Coup d'État,"Following President Idriss Déby's death, the military dissolved the government and parliament, establishing a transitional council.",government forces,2021 - 2021
45,2021,2021,Guinea; military factions; government forces,Guinean Coup d'État,"Special forces ousted President Alpha Condé, citing concerns over corruption and economic mismanagement.",Guinea,2021 - 2021
45,2021,2021,Guinea; military factions; government forces,Guinean Coup d'État,"Special forces ousted President Alpha Condé, citing concerns over corruption and economic mismanagement.",military factions,2021 - 2021
45,2021,2021,Guinea; military factions; government forces,Guinean Coup d'État,"Special forces ousted President Alpha Condé, citing concerns over corruption and economic mismanagement.",government forces,2021 - 2021
46,2021,2024,Ethiopia; government forces; Tigray People's Liberation Front (TPLF); Eritrean forces,Tigray War,"Armed conflict in the Tigray region, leading to a humanitarian crisis and regional instability.",Ethiopia,2021 - 2024
46,2021,2024,Ethiopia; government forces; Tigray People's Liberation Front (TPLF); Eritrean forces,Tigray War,"Armed conflict in the Tigray region, leading to a humanitarian crisis and regional instability.",government forces,2021 - 2024
46,2021,2024,Ethiopia; government forces; Tigray People's Liberation Front (TPLF); Eritrean forces,Tigray War,"Armed conflict in the Tigray region, leading to a humanitarian crisis and regional instability.",Tigray People's Liberation Front (TPLF),2021 - 2024
46,2021,2024,Ethiopia; government forces; Tigray People's Liberation Front (TPLF); Eritrean forces,Tigray War,"Armed conflict in the Tigray region, leading to a humanitarian crisis and regional instability.",Eritrean forces,2021 - 2024
47,2022,2022,Burkina Faso; military factions; government forces,Burkinabé Coups d'État,"Two military coups occurred, with the army citing failure to curb jihadist violence.",Burkina Faso,2022 - 2022
47,2022,2022,Burkina Faso; military factions; government forces,Burkinabé Coups d'État,"Two military coups occurred, with the army citing failure to curb jihadist violence.",military factions,2022 - 2022
47,2022,2022,Burkina Faso; military factions; government forces,Burkinabé Coups d'État,"Two military coups occurred, with the army citing failure to curb jihadist violence.",government forces,2022 - 2022
48,2023,2024,Sudan; Sudanese Armed Forces (SAF); Rapid Support Forces (RSF),Sudan Conflict,Power struggle between SAF and RSF escalated into widespread violence and humanitarian crises.,Sudan,2023 - 2024
48,2023,2024,Sudan; Sudanese Armed Forces (SAF); Rapid Support Forces (RSF),Sudan Conflict,Power struggle between SAF and RSF escalated into widespread violence and humanitarian crises.,Sudanese Armed Forces (SAF),2023 - 2024
48,2023,2024,Sudan; Sudanese Armed Forces (SAF); Rapid Support Forces (RSF),Sudan Conflict,Power struggle between SAF and RSF escalated into widespread violence and humanitarian crises.,Rapid Support Forces (RSF),2023 - 2024
49,2023,2023,Niger; military factions; government forces,Nigerien Coup d'État,"Military officers deposed President Mohamed Bazoum, leading to regional tensions.",Niger,2023 - 2023
49,2023,2023,Niger; military factions; government forces,Nigerien Coup d'État,"Military officers deposed President Mohamed Bazoum, leading to regional tensions.",military factions,2023 - 2023
49,2023,2023,Niger; military factions; government forces,Nigerien Coup d'État,"Military officers deposed President Mohamed Bazoum, leading to regional tensions.",government forces,2023 - 2023
50,2023,2024,Mali; government forces; Coordination of Azawad Movements (CMA); jihadist groups,Mali War Resurgence,Renewed hostilities between government forces and rebel groups in northern Mali.,Mali,2023 - 2024
50,2023,2024,Mali; government forces; Coordination of Azawad Movements (CMA); jihadist groups,Mali War Resurgence,Renewed hostilities between government forces and rebel groups in northern Mali.,government forces,2023 - 2024
50,2023,2024,Mali; government forces; Coordination of Azawad Movements (CMA); jihadist groups,Mali War Resurgence,Renewed hostilities between government forces and rebel groups in northern Mali.,Coordination of Azawad Movements (CMA),2023 - 2024
50,2023,2024,Mali; government forces; Coordination of Azawad Movements (CMA); jihadist groups,Mali War Resurgence,Renewed hostilities between government forces and rebel groups in northern Mali.,jihadist groups,2023 - 2024
51,2024,2024,Gabon; military factions; government forces,Gabonese Coup d'État,"Military officers seized power, annulling the results of the recent presidential election.",Gabon,2024 - 2024
51,2024,2024,Gabon; military factions; government forces,Gabonese Coup d'État,"Military officers seized power, annulling the results of the recent presidential election.",military factions,2024 - 2024
51,2024,2024,Gabon; military factions; government forces,Gabonese Coup d'État,"Military officers seized power, annulling the results of the recent presidential election.",government forces,2024 - 2024
52,2024,2024,Democratic Republic of the Congo; government forces; M23 rebels; various armed groups,Eastern Congo Conflict,"Escalation of violence in the eastern regions, involving multiple armed groups and causing significant displacement.",Democratic Republic of the Congo,2024 - 2024
52,2024,2024,Democratic Republic of the Congo; government forces; M23 rebels; various armed groups,Eastern Congo Conflict,"Escalation of violence in the eastern regions, involving multiple armed groups and causing significant displacement.",government forces,2024 - 2024
52,2024,2024,Democratic Republic of the Congo; government forces; M23 rebels; various armed groups,Eastern Congo Conflict,"Escalation of violence in the eastern regions, involving multiple armed groups and causing significant displacement.",M23 rebels,2024 - 2024
