start_year,end_year,parties_involved,title,description
2023,2023,Niger; military factions; government forces,Nigerien Coup d'État,"Military officers deposed President Mohamed Bazoum, leading to regional tensions."
2023,2024,Mali; government forces; Coordination of Azawad Movements (CMA); jihadist groups,Mali War Resurgence,Renewed hostilities between government forces and rebel groups in northern Mali.
2024,2024,Gabon; military factions; government forces,Gabonese Coup d'État,"Military officers seized power, annulling the results of the recent presidential election."
2024,2024,Democratic Republic of the Congo; government forces; M23 rebels; various armed groups,Eastern Congo Conflict,"Escalation of violence in the eastern regions, involving multiple armed groups and causing significant displacement."
2021,2024,Mozambique; government forces; RENAMO Military Junta,RENAMO Insurgency,"A splinter group from RENAMO resumed armed attacks, challenging the peace agreement."
2010,2011,Côte d'Ivoire; government forces; Rebels,Second Ivorian Civil War,"Following disputed presidential elections in Côte d'Ivoire, violence erupted between forces loyal to incumbent President Laurent Gbagbo and those supporting Alassane Ouattara. The conflict resulted in significant casualties and displacement."
2000,2008,"Colombia; FARC (Revolutionary Armed Forces of Colombia), paramilitary groups, drug cartels",Colombian Armed Conflict,"Escalated fighting involving the government, leftist guerrillas, and right-wing paramilitary groups, particularly over drug trade and rural control."
1998,2000,Ecuador; Peru,Cenepa War Resolution,"A conflict over a border dispute in the Cordillera del Cóndor region. It formally ended with the Brasilia Peace Accords in 1998, but tensions persisted."
2001,2001,"Argentina; IMF, domestic groups",Argentine Economic Crisis,"Widespread protests and riots due to economic collapse, involving clashes with the government over austerity measures and debt to the IMF."
2002,2002,"Venezuela; domestic opposition groups, labor unions",Venezuelan Coup Attempt,"A short-lived coup against President Hugo Chávez, resulting in his removal and reinstatement within two days."
2004,2004,"Bolivia; domestic protestors, indigenous groups",Bolivian Gas Conflict,"Violent protests over plans to export natural gas through Chile, leading to political instability and the resignation of President Gonzalo Sánchez de Lozada."
2005,2005,"Bolivia; domestic protestors, indigenous groups",Bolivian Water War,"Protests in Cochabamba over water privatization, leading to government rollbacks after violent confrontations with demonstrators."
2007,2007,"Colombia; Ecuador, FARC",Colombian-Ecuadorian Border Dispute,Diplomatic tensions after Colombia’s cross-border attack against FARC in Ecuadorian territory.
2000,2000,Paraguay; domestic military factions,2000 Paraguayan Coup Attempt,An attempted coup d'état by a faction of the Paraguayan military aiming to overthrow President Luis González Macchi. The coup was unsuccessful.
2005,2024,Paraguay; Paraguayan People's Army (EPP),Paraguayan People's Army Insurgency,"An 2024 insurgency by the EPP, a leftist guerrilla group, involving kidnappings and attacks against security forces"
2007,2007,"Venezuela; domestic protestors, media organizations",2007 RCTV Protests,"Mass protests following the government's decision not to renew the broadcast license of Radio Caracas Televisión (RCTV), citing its alleged support of the 2002 coup attempt."
2008,2008,"Colombia; Ecuador, FARC",2008 Andean Diplomatic Crisis,"Diplomatic tensions arose after Colombia's military conducted a cross-border raid into Ecuador to target FARC rebels, leading to a temporary severance of diplomatic relations between Colombia and Ecuador."
2010,2024,"Venezuela; domestic opposition groups, international actors",Crisis in Venezuela,"A multifaceted crisis involving economic collapse, political unrest, and humanitarian issues, leading to mass migration and international diplomatic tensions."
2016,2024,"Colombia; ELN (National Liberation Army), dissident FARC factions",Colombian Armed Conflict Post-2016,"Despite the 2016 peace agreement with FARC, violence continues with ELN and FARC dissident groups, involving drug trafficking and territorial control."
2023,2024,Guyana; Venezuela,Guyana–Venezuela Crisis,"Escalation of the long-standing territorial dispute over the Essequibo region, intensified by oil discoveries and Venezuela's referendum asserting claims over the area."
2024,2024,"Ecuador; domestic drug cartels, criminal gangs",Ecuadorian Drug War,"Increasing violence and instability due to the rise of drug cartels and criminal gangs, leading to government crackdowns and military deployments."
2001,2021,"United States; Taliban, Al-Qaeda, NATO allies, Afghan government",War in Afghanistan,"Initiated after the September 11 attacks, the U.S. led a NATO coalition to dismantle Al-Qaeda and remove the Taliban from power in Afghanistan."
2003,2011,"United States; Iraq, coalition allies",Iraq War,"The U.S., along with coalition forces, invaded Iraq to overthrow Saddam Hussein's regime, citing the threat of weapons of mass destruction."
2006,2024,"Mexico; various drug cartels, Mexican government",Mexican Drug War,"The Mexican government launched a large-scale operation against drug cartels, leading to prolonged violence and instability."
2004,2004,"Haiti; rebel groups, Haitian government, international forces",2004 Haitian Coup d'État,Armed rebellion led to the ousting of President Jean-Bertrand Aristide; international peacekeepers were deployed to restore order.
2010,2010,"Jamaica; Jamaican government, criminal organizations",2010 Kingston Unrest,"A government operation to arrest drug lord Christopher ""Dudus"" Coke resulted in violent clashes in Kingston."
2011,2011,"United States; Libyan government, NATO allies",2011 Military Intervention in Libya,The U.S. participated in NATO-led operations enforcing a no-fly zone during the Libyan Civil War.
2014,2024,"United States; ISIS, coalition allies",Operation Inherent Resolve,A U.S.-led coalition conducted military operations against ISIS in Iraq and Syria.
2018,2024,"Haiti; various armed gangs, Haitian government",Haitian Crisis,Escalating gang violence and political instability have led to humanitarian crises and calls for international intervention.
2021,2024,"United States; various African nations, terrorist groups",Operation Enduring Sentinel,U.S. mission focusing on counterterrorism operations in Afghanistan and surrounding regions following the withdrawal of U.S. troops.
2020,2021,"United States; various African nations, terrorist groups",Operation Octave Quartz,U.S. operation to reposition forces in East Africa and support counterterrorism efforts in the region.
2017,2019,"United States; Philippines, ISIS-affiliated groups",Marawi Crisis,U.S. provided assistance to Philippine forces during the battle to retake Marawi from ISIS-affiliated militants.
2014,2024,"United States; various African nations, terrorist groups",Operation Observant Compass,U.S. mission to support African Union forces in countering the Lord's Resistance Army in Central Africa.
2004,2017,"United States; various African nations, terrorist groups",Operation Enduring Freedom – Horn of Africa,U.S. military operations aimed at countering terrorism and promoting stability in the Horn of Africa region.
2000,2001,"United States; Serbia, Kosovo Liberation Army, NATO allies",Kosovo Conflict,The U.S. participated in NATO-led peacekeeping operations in Kosovo following the 1999 conflict to maintain stability in the region.
1999,2003,Australia; East Timor; Indonesia; United Nations,East Timor Crisis,"	Following East Timor's vote for independence from Indonesia in 1999, violence erupted. Australia led the International Force for East Timor (INTERFET) to restore peace and facilitate the transition to independence."
2006,2013,Australia; East Timor; New Zealand; Malaysia; Portugal,Operation Astute,Australia deployed forces to East Timor to address internal conflict and support stability following political unrest and violence.
2003,2017,Australia; Solomon Islands; New Zealand; Pacific Island nations,Regional Assistance Mission to Solomon Islands (RAMSI),"In response to civil unrest and lawlessness in the Solomon Islands, Australia led a regional intervention to restore order and rebuild governance structures."
2006,2006,Australia; Tonga; New Zealand,Tonga Riots Intervention,"After riots in Nukuʻalofa, Australia, alongside New Zealand, deployed police and military personnel to assist the Tongan government in restoring order. "
2014,2018,Australia; Iraq; United States; Coalition partners,Operation Okra,"Australia contributed air and ground forces to the international coalition against ISIS in Iraq and Syria, conducting airstrikes and training local forces."
2003,2003,Australia; Papua New Guinea,Bougainville Peace Monitoring,"Australia supported peace efforts in Bougainville, Papua New Guinea, after years of conflict, facilitating the peace process and disarmament."
2006,2006,Australia; Fiji; New Zealand; United Nations,Fiji Coup Crisis,"Australia condemned the military coup in Fiji, suspended defense ties, and advocated for international sanctions to restore democracy."
2014,2024,Ukraine; Russia; Pro-Russian separatists,Russo-Ukrainian War,"Conflict initiated by Russia's annexation of Crimea and support for separatist movements in Eastern Ukraine, leading to 2024 hostilities."
2020,2020,Armenia; Azerbaijan,Nagorno-Karabakh Conflict,"Renewed hostilities between Armenia and Azerbaijan over the disputed Nagorno-Karabakh region, leading to a ceasefire agreement brokered by Russia."
2008,2008,Russia; Georgia,Russo-Georgian War,"A brief conflict between Russia and Georgia over the regions of South Ossetia and Abkhazia, resulting in Russian military intervention."
